,snr,fisher,mutual_info,weight_norm
ch0,4.609313905239105,0.00010006516102236696,0.005136018022844289,0.5369385480880737
ch1,5.117985546588898,9.63833338986053e-05,0.004063364212570575,0.9313444495201111
ch2,5.035605192184448,0.00015809695659676633,0.007579137013407532,0.9417239427566528
ch3,4.008075177669525,1.8121856144671916e-05,0.032900074418867296,1.0
ch4,4.82104355096817,1.1587878132178564e-05,0.04984045020115117,0.7967309355735779
ch5,5.355343997478485,3.467696973528512e-05,0.041573361751593284,0.8007305264472961
ch6,4.674870133399963,0.00013906310134061676,0.024273066083465595,0.8086374402046204
ch7,3.343424141407013,0.00019656245922298853,0.005683290484820123,0.8617470264434814
ch8,2.5322184562683105,0.00015295707723429264,0.0020061431598311493,0.7612173557281494
ch9,2.3858941346406937,0.00016200189102340482,0.011611437387694823,0.5764263272285461
ch10,2.377156689763069,8.468380131462014e-05,0.01918339704544349,0.4962412714958191
ch11,2.651909723877907,8.563850805674238e-05,0.019477983947968756,0.3929893970489502
ch12,2.4604290425777435,5.784311363005258e-05,0.015623320680119606,0.38889023661613464
ch13,2.5538178980350494,3.756212626611756e-05,0.012975754355616022,0.33973315358161926
ch14,2.5037190318107605,1.9825436803553076e-05,0.011130306770303114,0.4271087646484375
ch15,2.4759330451488495,5.463330834689338e-05,0.007145395022809762,0.38845551013946533
