rank,channel,rank_sum,z_mean
1,2,19,0.7781916606040835
2,6,19,0.7764499235484571
3,5,22,0.7775488599259246
4,3,26,0.4741930971459789
5,7,26,0.4549105366262352
6,1,27,0.44893657687630134
7,4,28,0.7085545870477193
8,9,35,-0.11338589950525389
9,11,35,-0.449638332266028
10,0,36,-0.06557682558891259
11,8,39,-0.09265290360606046
12,10,42,-0.40379246811807
13,12,45,-0.6889367158638259
14,13,46,-0.8613398298695323
15,14,48,-0.8866381166052555
16,15,51,-0.8568248134534348
