rank,channel,rank_sum,z_mean
1,6,12,1.272658315615621
2,7,16,0.9872330301996998
3,5,24,0.5845721666498863
4,2,25,0.5021118390526359
5,3,29,0.13903018612977935
6,1,31,0.2932388599773983
7,4,35,-0.09657541363521399
8,8,36,0.04042714693382135
9,12,36,-0.0002871337950242081
10,13,37,-0.09513953431183564
11,0,38,-0.1542848369683043
12,14,42,-0.5213761457588941
13,9,44,-0.6776124890672034
14,11,46,-0.7299821965288684
15,15,46,-0.7112372987564798
16,10,47,-0.8327771588386901
